Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
5876,Rajkumar S/O Premji,BANSWARA (ST),IND,0,Graduate,"Rs 51,000 ~ 51 Thou+",Rs 0 ~
5877,Rajkumar Sahebrao Patil,OSMANABAD,IND,0,Post Graduate,"Rs 96,44,622 ~ 96 Lacs+","Rs 7,20,000 ~ 7 Lacs+"
5878,Rajkumar Sahu,BILASPUR,IND,0,Post Graduate,"Rs 9,600 ~ 9 Thou+",Rs 0 ~
5879,Rajkumar Somendro Singh,INNER MANIPUR,IND,0,Graduate,"Rs 43,09,842 ~ 43 Lacs+","Rs 2,20,218 ~ 2 Lacs+"
5880,Rajkumari,MORENA,IND,0,Literate,,
5881,Rajmohan Unnithan,KASARAGOD,INC,6,Graduate,"Rs 3,24,32,135 ~ 3 Crore+","Rs 6,78,829 ~ 6 Lacs+"
5882,Rajnath Sarkar,BIRBHUM,BSP,0,8th Pass,"Rs 1,53,000 ~ 1 Lacs+",Rs 0 ~
5883,Rajnish Kumar,DARBHANGA,Jantantra Awaj Party,0,Graduate Professional,"Rs 71,54,627 ~ 71 Lacs+",Rs 0 ~
5884,Rajnish Kumar Mukhiya,BEGUSARAI,Rashtriya Jansambhavna Party,0,12th Pass,"Rs 1,15,000 ~ 1 Lacs+",Rs 0 ~
5885,Rajpal Nadali,HOSHIARPUR (SC),Bahujan Mukti Party,0,Graduate Professional,,
5886,Rajpal Singh,HATHRAS (SC),IND,0,12th Pass,"Rs 1,70,28,916 ~ 1 Crore+","Rs 90,000 ~ 90 Thou+"
5887,Rajpalsinh Mahendrasinh Jadav,PANCHMAHAL,BJP,0,12th Pass,"Rs 2,20,46,500 ~ 2 Crore+","Rs 4,39,992 ~ 4 Lacs+"
5888,Rajrani Rawat,BARABANKI (SC),BJP,0,12th Pass,"Rs 4,66,75,284 ~ 4 Crore+","Rs 31,97,329 ~ 31 Lacs+"
5889,Rajshekar Hindalagi,UTTARA KANNADA,IND,0,12th Pass,"Rs 17,30,000 ~ 17 Lacs+","Rs 2,85,000 ~ 2 Lacs+"
5890,Rajshritai Hemant Patil (Mahalle),YAVATMAL - WASHIM,Shiv Sena,0,Post Graduate,,
5891,Raju,MYSORE,IND,0,8th Pass,"Rs 2,05,000 ~ 2 Lacs+",Rs 0 ~
5892,Raju Alagur,BIJAPUR (SC),INC,1,Post Graduate,"Rs 13,99,67,720 ~ 13 Crore+",Rs 0 ~
5893,Raju Anantsa Naikwadi,DHARWAD,IND,0,10th Pass,"Rs 29,68,290 ~ 29 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
5894,Raju Bista,DARJEELING,BJP,2,Graduate,"Rs 47,53,57,268 ~ 47 Crore+","Rs 27,94,788 ~ 27 Lacs+"
5895,Raju Das,SILCHAR (SC),IND,0,Graduate,,
5896,Raju Deonath Parve,RAMTEK (SC),Shiv Sena,1,12th Pass,"Rs 6,71,36,646 ~ 6 Crore+","Rs 49,42,283 ~ 49 Lacs+"
5897,Raju Deuri,SONITPUR,Bodoland Peoples Front,0,Post Graduate,"Rs 55,00,500 ~ 55 Lacs+","Rs 2,61,712 ~ 2 Lacs+"
5898,Raju Emanuel Murmu,DUMKA (ST),Ambedkarite Party of India,0,12th Pass,"Rs 4,77,287 ~ 4 Lacs+",Rs 0 ~
5899,Raju Mahadevrao Sonone,AMRAVATI (SC),IND,0,Graduate,"Rs 55,75,000 ~ 55 Lacs+","Rs 1,50,000 ~ 1 Lacs+"
5900,Raju Shetti,HATKANANGALE,Swabhimani Paksha,12,10th Pass,,
5901,Raju Singh,BUXAR,Bahujan Mukti Party,0,Graduate,"Rs 26,18,596 ~ 26 Lacs+",Rs 0 ~
5902,Raju Singh,MUZAFFARPUR,IND,0,Literate,"Rs 1,00,00,000 ~ 1 Crore+",Rs 0 ~
5903,Raju Varde,NAVSARI,IND,0,8th Pass,"Rs 37,65,000 ~ 37 Lacs+",Rs 0 ~
5904,Rajveer,FIROZABAD,IND,1,10th Pass,"Rs 3,98,900 ~ 3 Lacs+",Rs 0 ~
5905,Rajveer Singh (Raju Bhaiya),ETAH,BJP,0,Graduate Professional,,
5906,Rajwant Kaur Khalsa,JALANDHAR (SC),Apna Samaj Party,0,10th Pass,"Rs 1,54,28,000 ~ 1 Crore+",Rs 0 ~
5907,Rajwinder Singh Dharamkot,FARIDKOT (SC),SAD,0,Graduate,"Rs 1,10,85,215 ~ 1 Crore+","Rs 10,91,260 ~ 10 Lacs+"
5908,Rakesh,SONIPAT,Samata Party,0,12th Pass,"Rs 4,64,50,000 ~ 4 Crore+","Rs 29,25,000 ~ 29 Lacs+"
5909,Rakesh,BHIND (SC),IND,0,Graduate Professional,"Rs 17,02,000 ~ 17 Lacs+",Rs 0 ~
5910,Rakesh,GUNA,IND,0,Post Graduate,,
5911,Rakesh Bag,SAMBALPUR,Bharatiya Nyay-Adhikar Raksha Party,0,Graduate,"Rs 12,80,600 ~ 12 Lacs+",Rs 0 ~
5912,Rakesh Choudhary,JABALPUR,BSP,0,Graduate,"Rs 53,04,777 ~ 53 Lacs+","Rs 1,44,000 ~ 1 Lacs+"
5913,Rakesh Dhakad,GWALIOR,IND,0,Graduate,"Rs 2,78,657 ~ 2 Lacs+",Rs 0 ~
5914,Rakesh Dhariwal,SONIPAT,Rashtriya Jatigat Aarakshan Virodhi Party,0,8th Pass,"Rs 42,200 ~ 42 Thou+",Rs 0 ~
5915,Rakesh Kumar,UJIARPUR,IND,0,Graduate Professional,,
5916,Rakesh Kumar,AMBALA (SC),Haryana Jansena Party,5,12th Pass,"Rs 55,98,600 ~ 55 Lacs+","Rs 6,00,000 ~ 6 Lacs+"
5917,Rakesh Kumar,MATHURA,IND,0,12th Pass,"Rs 42,80,000 ~ 42 Lacs+",Rs 0 ~
5918,Rakesh Kumar (Ricky),LUDHIANA,Sunahara Bharat Party,0,Graduate,"Rs 55,46,000 ~ 55 Lacs+",Rs 0 ~
5919,Rakesh Kumar Ahirwar,DAMOH,IND,0,10th Pass,"Rs 8,76,147 ~ 8 Lacs+",Rs 0 ~
5920,Rakesh Kumar Dhisulal Jain,KALYAN,IND,0,Others,,
5921,Rakesh Ramprasad Ricky,HOSHANGABAD,IND,0,Post Graduate,"Rs 7,40,40,000 ~ 7 Crore+",Rs 0 ~
5922,Rakesh Rathor,SITAPUR,INC,1,Graduate,"Rs 4,21,07,005 ~ 4 Crore+","Rs 82,88,936 ~ 82 Lacs+"
5923,Rakesh Sahu,DURG,Nyaydharmsabha,0,Graduate,"Rs 52,72,367 ~ 52 Lacs+","Rs 8,189 ~ 8 Thou+"
5924,Rakesh Sharma,PATNA SAHIB,IND,0,12th Pass,"Rs 76,30,000 ~ 76 Lacs+",Rs 0 ~
5925,Rakesh Singh,ROHTAK,Rashtrawadi Janlok Party (Satya),1,10th Pass,,
5926,Rakesh Singh Thakur,MANDLA (ST),IND,0,12th Pass,"Rs 2,08,260 ~ 2 Lacs+",Rs 0 ~
5927,Rakeshsinh Mahobatsinh Zala,SABARKANTHA,Bhartiya Jan Parishad,0,8th Pass,"Rs 10,72,250 ~ 10 Lacs+",Rs 0 ~
5928,Rakhee Gupta,MANDI,IND,0,12th Pass,"Rs 87,07,200 ~ 87 Lacs+","Rs 10,50,000 ~ 10 Lacs+"
5929,Rakibul Hussain,DHUBRI,INC,0,Post Graduate,"Rs 25,29,63,888 ~ 25 Crore+","Rs 4,36,46,481 ~ 4 Crore+"
5930,Ram Adhar Verma,SITAPUR,Sardar Patel Siddhant Party,1,8th Pass,,
5931,Ram Asrey,KAUSHAMBI (SC),Manavtawadi Samaj Party,0,12th Pass,"Rs 52,86,000 ~ 52 Lacs+","Rs 1,50,000 ~ 1 Lacs+"
5932,Ram Badan Rai,BEGUSARAI,Karpoori Janta Dal,0,Post Graduate,"Rs 1,76,73,000 ~ 1 Crore+","Rs 60,50,000 ~ 60 Lacs+"
5933,Ram Bhjan Bansal,SAGAR,Samata Party,0,8th Pass,"Rs 2,45,000 ~ 2 Lacs+",Rs 0 ~
5934,Ram Bihari,FATEHPUR,Bhartiya Shakti Chetna Party,0,12th Pass,"Rs 88,03,826 ~ 88 Lacs+",Rs 0 ~
5935,Ram Dayal Bishnoi,JODHPUR,Rashtriya Janshakti Party (Secular),0,10th Pass,,
5936,Ram Gopal,SOUTH DELHI,Haryana Jansena Party,1,12th Pass,"Rs 76,09,791 ~ 76 Lacs+",Rs 0 ~
5937,Ram Gopal Singh,REWA,Peoples Party of India (Democratic),0,Post Graduate,"Rs 1,68,01,000 ~ 1 Crore+",Rs 0 ~
5938,Ram Govind,CHANDAULI,Samajhdar Party,0,Graduate Professional,"Rs 94,21,448 ~ 94 Lacs+","Rs 7,88,248 ~ 7 Lacs+"
5939,Ram Hanumant Shendage,OSMANABAD,IND,0,10th Pass,"Rs 70,000 ~ 70 Thou+",Rs 0 ~
5940,Ram Karan Gautam,BASTI,IND,0,12th Pass,,
5941,Ram Kripal Yadav,PATALIPUTRA,BJP,2,Graduate,"Rs 3,24,78,104 ~ 3 Crore+",Rs 0 ~
5942,Ram Krishna Dwivedi,SANT KABIR NAGAR,IND,0,Graduate Professional,"Rs 73,65,000 ~ 73 Lacs+",Rs 0 ~
5943,Ram Kumar Manjhi,GOPALGANJ (SC),Gana Suraksha Party,0,Graduate,"Rs 39,54,000 ~ 39 Lacs+",Rs 0 ~
5944,Ram Kumar Yadav,PRATAPGARH,SUCI(C),0,Post Graduate,"Rs 1,686 ~ 1 Thou+",Rs 0 ~
5945,Ram Lakhan Mahto,SAMASTIPUR (SC),BSP,0,Graduate,,
5946,Ram Milan,BAHRAICH (SC),Sardar Patel Siddhant Party,0,12th Pass,"Rs 3,70,000 ~ 3 Lacs+",Rs 0 ~
5947,Ram Milan,MACHHLISHAHR (SC),Sardar Patel Siddhant Party,0,10th Pass,"Rs 15,70,000 ~ 15 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
5948,Ram Narayan Mohanty,WEST DELHI,IND,0,Post Graduate,"Rs 37,20,000 ~ 37 Lacs+","Rs 1,77,000 ~ 1 Lacs+"
5949,Ram Naresh,DHAURAHRA,IND,0,Graduate,"Rs 71,25,000 ~ 71 Lacs+",Rs 0 ~
5950,Ram Naresh Prajapati,AMBEDKAR NAGAR,Bhagidari Party(P),0,8th Pass,,
5951,Ram Niranjan Roy,PATALIPUTRA,Rashtrawadi Chetna Party,0,Post Graduate,"Rs 35,11,317 ~ 35 Lacs+",Rs 0 ~
5952,Ram Prakash Mishra,BHADOHI,Rashtriya Samaj Paksha,0,Graduate,"Rs 1,63,55,000 ~ 1 Crore+",Rs 0 ~
5953,Ram Prakash Singh Pal,GWALIOR,Rashtra Uday Party,0,Post Graduate,"Rs 2,46,31,951 ~ 2 Crore+","Rs 35,30,000 ~ 35 Lacs+"
5954,Ram Prasad Chaudhary,BASTI,SP,4,Others,"Rs 9,81,52,477 ~ 9 Crore+","Rs 37,45,441 ~ 37 Lacs+"
5955,Ram Prasad Hembram,KEONJHAR (ST),BSP,0,10th Pass,,
5956,Ram Prasad Mandal,JALPAIGURI (SC),SUCI(C),0,Post Graduate,"Rs 2,85,745 ~ 2 Lacs+","Rs 4,82,200 ~ 4 Lacs+"
5957,Ram Prasad Prajapati,RAIPUR,IND,0,10th Pass,"Rs 8,30,000 ~ 8 Lacs+",Rs 0 ~
5958,Ram Prasad Raut,JHANJHARPUR,IND,0,10th Pass,"Rs 33,87,000 ~ 33 Lacs+","Rs 90,000 ~ 90 Thou+"
5959,Ram Pratap Maurya,BADAUN,IND,3,Graduate,"Rs 26,11,100 ~ 26 Lacs+","Rs 5,40,000 ~ 5 Lacs+"
5960,Ram Pyare,JAUNPUR,SUCI(C),0,Graduate Professional,,
5961,Ram Pyare Sharan Vijaita,LALGANJ (SC),IND,0,Post Graduate,"Rs 1,11,45,000 ~ 1 Crore+","Rs 19,83,176 ~ 19 Lacs+"
5962,Ram Sankar Satapathy,BERHAMPUR,IND,0,Graduate,"Rs 27,43,452 ~ 27 Lacs+","Rs 15,00,000 ~ 15 Lacs+"
5963,Ram Sare Singh,ARRAH,Peoples Party of India (Democratic),0,8th Pass,"Rs 41,29,667 ~ 41 Lacs+","Rs 8,40,000 ~ 8 Lacs+"
5964,Ram Shiromani,ROBERTSGANJ (SC),Sardar Patel Siddhant Party,1,8th Pass,"Rs 12,54,000 ~ 12 Lacs+",Rs 0 ~
5965,Ram Shiromani Verma,SHRAWASTI,SP,0,Graduate Professional,,
5966,Ram Sunder Sharma,MORENA,IND,0,8th Pass,"Rs 33,84,283 ~ 33 Lacs+",Rs 0 ~
5967,Ram Swaroop Chauhan,BUXAR,IND,0,5th Pass,"Rs 4,18,11,000 ~ 4 Crore+","Rs 5,20,000 ~ 5 Lacs+"
5968,Ram Ujagar,GONDA,IND,0,Graduate,"Rs 37,70,083 ~ 37 Lacs+",Rs 0 ~
5969,Ram Vachan Ram,PALAMU (SC),Bahujan Mukti Party,0,8th Pass,"Rs 18,56,50,000 ~ 18 Crore+",Rs 0 ~
5970,Ram Vitthal Satpute,SOLAPUR (SC),BJP,5,Graduate Professional,,
5971,Rama Arun Sable,MUMBAI NORTH - CENTRAL,IND,0,8th Pass,"Rs 2,02,000 ~ 2 Lacs+",Rs 0 ~
5972,Rama Durga Prasad Tholeti,NARSAPURAM,IND,0,Post Graduate,"Rs 71,000 ~ 71 Thou+",Rs 0 ~
5973,Rama Ram,BARMER,IND,0,Post Graduate,"Rs 93,53,685 ~ 93 Lacs+",Rs 0 ~
5974,Ramachandran Bavileeri,KANNUR,Bharatheeya Jawan Kisan Party,0,Graduate,"Rs 1,99,75,823 ~ 1 Crore+","Rs 21,64,588 ~ 21 Lacs+"
5975,Ramachandran C,SALEM,Dhesiya Makkal Kazhagam,0,Graduate,,
5976,Ramachandran M,COIMBATORE,IND,0,5th Pass,"Rs 3,46,000 ~ 3 Lacs+",Rs 0 ~
5977,Ramachandran R,COIMBATORE,IND,0,Post Graduate,"Rs 1,53,56,756 ~ 1 Crore+","Rs 36,00,000 ~ 36 Lacs+"
5978,Ramadhar Singh,SURGUJA (ST),IND,0,12th Pass,"Rs 5,40,000 ~ 5 Lacs+",Rs 0 ~
5979,Ramaiah. D,MANDYA,IND,0,Graduate,"Rs 1,18,54,010 ~ 1 Crore+","Rs 3,21,000 ~ 3 Lacs+"
5980,Ramakant Dattaram Khalap,NORTH GOA,INC,0,Graduate Professional,,
5981,Ramakishan Bhadu,RAJSAMAND,BSP,0,12th Pass,"Rs 70,53,000 ~ 70 Lacs+",Rs 0 ~
5982,Ramakrishnan N,TIRUNELVELI,Nam India Naam Indiyar Katchi,0,5th Pass,"Rs 37,00,000 ~ 37 Lacs+","Rs 2,89,000 ~ 2 Lacs+"
5983,Ramalingappa,RAICHUR (ST),SUCI(C),0,Post Graduate,"Rs 69,484 ~ 69 Thou+",Rs 0 ~
5984,Ramamurthy. M,MYSORE,IND,0,5th Pass,Nil,Rs 0 ~
5985,Raman Bhalla,JAMMU,INC,0,Graduate Professional,,
5986,Raman V,NAMAKKAL,BSP,0,5th Pass,"Rs 2,41,000 ~ 2 Lacs+",Rs 0 ~
5987,Ramanath Orang,JHARGRAM (ST),IND,0,8th Pass,"Rs 4,70,000 ~ 4 Lacs+",Rs 0 ~
5988,Ramanathan S,MADURAI,IND,0,Graduate,"Rs 1,27,77,147 ~ 1 Crore+",Rs 0 ~
5989,Ramanbhai Karshanbhai Patel,VALSAD (ST),IND,0,Graduate Professional,"Rs 5,35,400 ~ 5 Lacs+",Rs 0 ~
5990,Ramarpandi T,MADURAI,BSP,0,Literate,,
5991,Ramasahayam Raghuram Reddy,KHAMMAM,INC,1,Others,"Rs 58,27,70,537 ~ 58 Crore+","Rs 9,54,82,677 ~ 9 Crore+"
5992,Ramasamy K,POLLACHI,IND,0,12th Pass,"Rs 2,05,13,728 ~ 2 Crore+","Rs 1,40,000 ~ 1 Lacs+"
5993,Ramasamy N,NAMAKKAL,IND,0,Illiterate,"Rs 3,66,000 ~ 3 Lacs+",Rs 0 ~
5994,Ramasamy P,TENKASI (SC),Viro Ke Vir Indian Party,0,10th Pass,"Rs 1,54,30,187 ~ 1 Crore+",Rs 0 ~
5995,Ramasamy P,NAMAKKAL,IND,0,12th Pass,,
5996,Ramashankar Rajbhar,SALEMPUR,SP,0,Graduate,"Rs 7,60,85,514 ~ 7 Crore+","Rs 10,00,000 ~ 10 Lacs+"
5997,Ramasundaram D,SALEM,IND,0,12th Pass,"Rs 2,15,000 ~ 2 Lacs+",Rs 0 ~
5998,Rambabu Jalli,ARAKU (ST),Telugu Rajadhikara Samiti Party,0,10th Pass,"Rs 9,72,850 ~ 9 Lacs+",Rs 0 ~
5999,Rambabu Podili,ONGOLE,IND,0,Graduate,"Rs 12,70,716 ~ 12 Lacs+","Rs 4,45,000 ~ 4 Lacs+"
6000,Rambabu Sharma,ALWAR,IND,0,Post Graduate,,
6001,Rambhual Nishad,SULTANPUR,SP,8,Graduate,"Rs 3,74,05,832 ~ 3 Crore+","Rs 3,63,092 ~ 3 Lacs+"
6002,Ramchandar Nichhakola,PEDDAPALLE (SC),Dalita Bahujana Party,0,10th Pass,"Rs 2,40,000 ~ 2 Lacs+","Rs 30,000 ~ 30 Thou+"
6003,Ramchandra Bhagat,LOHARDAGA (ST),Lokhit Adhikar Party,1,10th Pass,"Rs 4,51,400 ~ 4 Lacs+",Rs 0 ~
6004,Ramchandra Choudhary,AJMER,INC,1,Post Graduate,"Rs 99,06,249 ~ 99 Lacs+","Rs 9,735 ~ 9 Thou+"
6005,Ramchandra Govindrao Salunkhe,HATKANANGALE,IND,0,Others,,
6006,Ramchandra Namdev Jadhav,SHIRDI (SC),BSP,4,Post Graduate,"Rs 4,92,64,066 ~ 4 Crore+","Rs 2,80,57,434 ~ 2 Crore+"
6007,Ramchandra Narayan Kachave,BIDAR,Kranti Kari Jai Hind Sena,1,Graduate Professional,"Rs 1,08,40,000 ~ 1 Crore+",Rs 0 ~
6008,Ramchandra Saras,BANDA,CPI,0,Graduate,"Rs 88,15,000 ~ 88 Lacs+",Rs 0 ~
6009,Ramchandra Singh,KUSHI NAGAR,IND,0,Post Graduate,"Rs 56,14,762 ~ 56 Lacs+","Rs 4,75,000 ~ 4 Lacs+"
6010,Ramchandra Solanki,RATLAM (ST),BSP,0,Literate,,
6011,Ramcharan Pirjapati,RAJGARH,Lok Samaj Party,0,Literate,"Rs 2,45,000 ~ 2 Lacs+",Rs 0 ~
6012,Ramchran,BANDA,IND,0,8th Pass,"Rs 6,10,000 ~ 6 Lacs+",Rs 0 ~
6013,Ramdas Bajirao Ghodam,YAVATMAL - WASHIM,IND,0,5th Pass,"Rs 26,20,000 ~ 26 Lacs+",Rs 0 ~
6014,Ramdas Chandrabhan Tadas,WARDHA,BJP,4,10th Pass,"Rs 11,00,81,855 ~ 11 Crore+","Rs 1,03,89,366 ~ 1 Crore+"
6015,Ramdev,AJMER,BSP,0,8th Pass,,
6016,Ramdhan Singh,BIJNOR,Majdoor Kisan Union Party,0,Graduate Professional,"Rs 42,37,000 ~ 42 Lacs+","Rs 47,000 ~ 47 Thou+"
6017,Ramdhani,MIRZAPUR,Rashtriya Samaj Paksha,0,Post Graduate,"Rs 11,31,000 ~ 11 Lacs+",Rs 0 ~
6018,Ramdiya,KURUKSHETRA,IND,0,Illiterate,"Rs 2,49,20,758 ~ 2 Crore+","Rs 5,518 ~ 5 Thou+"
6019,Ramendra Reang,TRIPURA WEST,IND,0,10th Pass,"Rs 36,200 ~ 36 Thou+",Rs 0 ~
6020,Ramesh,SONIPAT,IND,0,Graduate Professional,,
6021,Ramesh,JHANSI,IND,0,10th Pass,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~
6022,Ramesh A,KRISHNAGIRI,IND,0,10th Pass,"Rs 78,40,000 ~ 78 Lacs+",Rs 0 ~
6023,Ramesh Awasthi,KANPUR,BJP,0,Post Graduate,"Rs 5,29,36,608 ~ 5 Crore+","Rs 61,48,728 ~ 61 Lacs+"
6024,Ramesh Babu G,CHENNAI SOUTH,IND,0,Graduate Professional,"Rs 32,71,000 ~ 32 Lacs+",Rs 0 ~
6025,Ramesh Babu Shanigarapu,WARANGAL (SC),IND,0,Graduate,,
6026,Ramesh Balmiki,BAHRAICH (SC),IND,0,Graduate,"Rs 2,74,102 ~ 2 Lacs+",Rs 0 ~
6027,Ramesh Bhimrao Shikhare,SOLAPUR (SC),IND,0,8th Pass,"Rs 27,024 ~ 27 Thou+",Rs 0 ~
6028,Ramesh Bhimsing Chavan,GULBARGA (SC),IND,2,Post Graduate,"Rs 1,25,30,000 ~ 1 Crore+","Rs 2,90,000 ~ 2 Lacs+"
6029,Ramesh Chand Bind,MIRZAPUR,SP,1,8th Pass,"Rs 11,73,35,807 ~ 11 Crore+","Rs 3,63,94,844 ~ 3 Crore+"
6030,Ramesh Chand Sarthi,HAMIRPUR,IND,1,Graduate Professional,,
6031,Ramesh Chandra,BAHRAICH (SC),SP,1,Graduate,"Rs 4,31,51,446 ~ 4 Crore+","Rs 43,00,000 ~ 43 Lacs+"
6032,Ramesh Chandra Sethy,JAGATSINGHPUR (SC),CPI,1,Others,"Rs 39,27,621 ~ 39 Lacs+",Rs 0 ~
6033,Ramesh Chandra Sinha,RAIGANJ,Bhumiputra United Party,0,Post Graduate,"Rs 9,52,000 ~ 9 Lacs+","Rs 2,50,000 ~ 2 Lacs+"
6034,Ramesh Chandra Verma,SHAHJAHANPUR (SC),Manav Kranti Party,0,Graduate Professional,"Rs 70,82,000 ~ 70 Lacs+",Rs 0 ~
6035,Ramesh Das Mahant,KORBA,IND,1,10th Pass,,
6036,Ramesh E,CHENNAI SOUTH,IND,0,Graduate Professional,"Rs 76,16,583 ~ 76 Lacs+","Rs 20,00,000 ~ 20 Lacs+"
6037,Ramesh Garg,MORENA,BSP,5,10th Pass,"Rs 16,47,36,522 ~ 16 Crore+","Rs 3,51,60,73,554 ~ 351 Crore+"
6038,Ramesh Goud Thallapelly,BHONGIR,Alliance of Democratic Reforms Party,0,10th Pass,"Rs 30,25,000 ~ 30 Lacs+","Rs 4,19,000 ~ 4 Lacs+"
6039,Ramesh J Chavan,BIDAR,Karnataka Rashtra Samithi,1,Post Graduate,"Rs 3,77,084 ~ 3 Lacs+",Rs 0 ~
6040,Ramesh Jigajinagi,BIJAPUR (SC),BJP,0,Graduate,,
6041,Ramesh Khanra,ULUBERIA,IND,0,12th Pass,"Rs 6,43,632 ~ 6 Lacs+",Rs 0 ~
6042,Ramesh Khatak,SIRSA (SC),Jannayak Janta Party,0,Graduate,"Rs 2,85,17,483 ~ 2 Crore+","Rs 43,44,165 ~ 43 Lacs+"
6043,Ramesh Kumar,NALANDA,Naki Bharatiya Ekta Party,0,10th Pass,"Rs 13,60,172 ~ 13 Lacs+",Rs 0 ~
6044,Ramesh Kumar,CHURU,IND,3,Post Graduate,"Rs 85,528 ~ 85 Thou+",Rs 0 ~
6045,Ramesh Kumar,MOHANLALGANJ (SC),IND,0,Post Graduate,,
6046,Ramesh Kumar,GURDASPUR,Bharatheeya Jawan Kisan Party,0,12th Pass,"Rs 2,32,85,000 ~ 2 Crore+","Rs 9,50,000 ~ 9 Lacs+"
6047,Ramesh Kumar Anand,SUPAUL,"Proutist Bloc, India",0,Graduate Professional,"Rs 3,06,169 ~ 3 Lacs+",Rs 0 ~
6048,Ramesh Kumar Bhandari,JALORE,IND,0,8th Pass,"Rs 10,28,514 ~ 10 Lacs+",Rs 0 ~
6049,Ramesh Kumar Jain @ Nirbhik,WEST DELHI,Gareeb Aadmi Party,0,10th Pass,"Rs 1,58,20,883 ~ 1 Crore+",Rs 0 ~
6050,Ramesh Kumar Matangi,HYDERABAD,Sakala Janula Party,0,10th Pass,,
6051,Ramesh Kumar Max,NAINITAL-UDHAM SINGH NAGAR,IND,0,Graduate,"Rs 23,39,080 ~ 23 Lacs+",Rs 0 ~
6052,Ramesh Kumar Patel,ALLAHABAD,BSP,3,10th Pass,"Rs 4,87,63,000 ~ 4 Crore+","Rs 15,80,000 ~ 15 Lacs+"
6053,Ramesh Lal,GURDASPUR,National Republic Party Of India,0,Illiterate,"Rs 9,35,000 ~ 9 Lacs+",Rs 0 ~
6054,Ramesh Lal Kala,JALANDHAR (SC),IND,0,8th Pass,"Rs 36,000 ~ 36 Thou+",Rs 0 ~
6055,Ramesh Manda,PEDDAPALLE (SC),Dharma Samaj Party,0,Post Graduate,,
6056,Ramesh Naik .T.,CHITRADURGA (SC),Uttama Prajaakeeya Party,0,5th Pass,"Rs 1,86,600 ~ 1 Lacs+","Rs 60,000 ~ 60 Thou+"
6057,Ramesh Palle,KADAPA,Jaibhim Rao Bharat Party,0,10th Pass,"Rs 2,32,000 ~ 2 Lacs+",Rs 0 ~
6058,Ramesh Rajput,RAJNANDGAON,Bhartiya Shakti Chetna Party,0,10th Pass,"Rs 1,10,79,211 ~ 1 Crore+","Rs 1,15,000 ~ 1 Lacs+"
6059,Ramesh Sajjapur,ZAHIRABAD,IND,0,Graduate,"Rs 8,07,100 ~ 8 Lacs+","Rs 2,99,999 ~ 2 Lacs+"
6060,Ramesh Sharma,SIKAR,Bhartiya Party,0,Graduate Professional,,
6061,Ramesh Sinha,WARDHA,IND,0,Graduate Professional,"Rs 85,00,000 ~ 85 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
6062,Ramesh Sunkara,NALGONDA,IND,0,Graduate,"Rs 80,89,425 ~ 80 Lacs+","Rs 95,000 ~ 95 Thou+"
6063,Ramesh T,NAMAKKAL,Ahimsa Socialist Party,0,Graduate,"Rs 1,07,85,200 ~ 1 Crore+","Rs 12,30,000 ~ 12 Lacs+"
6064,Ramesh T R,NAMAKKAL,IND,0,10th Pass,"Rs 11,95,800 ~ 11 Lacs+",Rs 0 ~
6065,Ramesh Tudu,BHAGALPUR,IND,1,Others,,
6066,Ramesh. S,KANCHEEPURAM (SC),IND,0,10th Pass,"Rs 8,07,000 ~ 8 Lacs+",Rs 0 ~
6067,Rameshgovind S G M,NAGAPATTINAM (SC),BJP,0,Graduate Professional,"Rs 2,14,00,105 ~ 2 Crore+","Rs 20,43,726 ~ 20 Lacs+"
6068,Rameshkumar J L,KANNIYAKUMARI,IND,2,10th Pass,"Rs 7,03,000 ~ 7 Lacs+",Rs 0 ~
6069,Rameshwar Dusadh,GIRIDIH,IND,0,Graduate,"Rs 20,84,000 ~ 20 Lacs+",Rs 0 ~
6070,Rameshwar Lal Bairwa,BHILWARA,BSP,0,12th Pass,,
6071,Rameshwar Lal Bairwa (Indora),CHITTORGARH,IND,0,12th Pass,"Rs 8,47,800 ~ 8 Lacs+",Rs 0 ~
6072,Rameshwar Mahto,VAISHALI,Bhartiya Sarthak Party,0,10th Pass,"Rs 32,70,000 ~ 32 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
6073,Rameshwar Mandal,GODDA,Peoples Party of India (Democratic),1,Graduate,"Rs 73,04,800 ~ 73 Lacs+",Rs 0 ~
6074,Rameshwar Prasad,KAUSHAMBI (SC),Bhartiya Shakti Chetna Party,0,5th Pass,"Rs 3,55,000 ~ 3 Lacs+",Rs 0 ~
6075,Rameshwar Prasad Yadav,KODARMA,IND,0,10th Pass,,
6076,Rameshwar Sahu,BILASPUR,IND,0,Others,"Rs 6,82,000 ~ 6 Lacs+",Rs 0 ~
6077,Rameshwar Singar,RATLAM (ST),IND,0,12th Pass,"Rs 50,01,939 ~ 50 Lacs+","Rs 20,62,400 ~ 20 Lacs+"
6078,Ramfal Patil,RAJNANDGAON,Nyaydharmsabha,0,12th Pass,"Rs 7,500 ~ 7 Thou+","Rs 60,000 ~ 60 Thou+"
